model,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std
"Logistic Regression (L2, balanced)",0.7597402597402598,0.03100606853587876,0.7570754716981133,0.03585565046111031,0.8138822454392589,0.024850776745948443,0.8262971698113206,0.02812372952885584
"XGBoost (shallow, regularized)",0.7753246753246753,0.024157240568491296,0.7113993710691824,0.03832085522913943,0.8438622049317711,0.014696137385659905,0.8219339622641509,0.030452041741863074
