feature_name,feature_type,selection_method,selection_score,rank
102throw_166thcolumn,connectome_edge,SelectKBest_f_classif,8.74299411831571,67.0
82throw_123thcolumn,connectome_edge,SelectKBest_f_classif,8.724337347565612,68.0
39throw_101thcolumn,connectome_edge,SelectKBest_f_classif,8.707171558988117,69.0
134throw_174thcolumn,connectome_edge,SelectKBest_f_classif,8.695752255337311,70.0
157throw_166thcolumn,connectome_edge,SelectKBest_f_classif,8.68908255802818,71.0
166throw_176thcolumn,connectome_edge,SelectKBest_f_classif,8.687767356844779,72.0
18throw_51thcolumn,connectome_edge,SelectKBest_f_classif,8.622538954814322,73.0
21throw_53thcolumn,connectome_edge,SelectKBest_f_classif,8.622391669122699,74.0
118throw_119thcolumn,connectome_edge,SelectKBest_f_classif,8.604653365718928,75.0
65throw_77thcolumn,connectome_edge,SelectKBest_f_classif,8.596750191532738,76.0
96throw_190thcolumn,connectome_edge,SelectKBest_f_classif,8.588981178239436,77.0
166throw_192thcolumn,connectome_edge,SelectKBest_f_classif,8.541068007307034,78.0
0throw_6thcolumn,connectome_edge,SelectKBest_f_classif,8.533057441840956,79.0
1throw_117thcolumn,connectome_edge,SelectKBest_f_classif,8.521524880672207,80.0
73throw_76thcolumn,connectome_edge,SelectKBest_f_classif,8.477422948334793,81.0
51throw_196thcolumn,connectome_edge,SelectKBest_f_classif,8.461521717263485,82.0
120throw_160thcolumn,connectome_edge,SelectKBest_f_classif,8.450763822104328,83.0
12throw_85thcolumn,connectome_edge,SelectKBest_f_classif,8.423001589153552,84.0
65throw_76thcolumn,connectome_edge,SelectKBest_f_classif,8.420144794070728,85.0
36throw_130thcolumn,connectome_edge,SelectKBest_f_classif,8.391591944748491,86.0
101throw_139thcolumn,connectome_edge,SelectKBest_f_classif,8.360973040953176,87.0
103throw_119thcolumn,connectome_edge,SelectKBest_f_classif,8.33787269937551,88.0
76throw_190thcolumn,connectome_edge,SelectKBest_f_classif,8.30789147008568,89.0
112throw_142thcolumn,connectome_edge,SelectKBest_f_classif,8.269254980902387,90.0
150throw_196thcolumn,connectome_edge,SelectKBest_f_classif,8.255361596225267,91.0
50throw_183thcolumn,connectome_edge,SelectKBest_f_classif,8.222814835309746,92.0
